time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4,episode,total_reward
1.4400000000000008,3.079693880978163,0.18931558937773268,0.0,5.805411758895476,1.4780440177909355,0.0,1.030688089454164,0.3441235148768866,-15.940864224914321,-1.213854885924054,-8.231994735231789,0.0,448.6072323433762,331.5821742594831,335.33033830506025,371.1003667643525,1,72
1.3800000000000008,2.919702488897618,0.20173207722193753,0.0,0.23385784428654066,6.011509719418257,0.0,1.2911843035237809,0.3450631698985452,-14.89658431455256,-3.422797360368158,-11.026509941386067,0.0,476.4766882312237,369.83515177181573,497.4711575877065,432.72752078165473,2,69
1.5000000000000009,1.751783879942912,0.746025235861777,0.0,0.38868566722182596,2.3646132821715877,0.0,1.6000342664972138,0.789548036124499,-13.666924917809819,-0.5398722124499015,-9.105530218775423,0.0,501.07394545333057,440.98390712411623,459.690952738087,463.4731837172723,3,75
1.560000000000001,2.8643568862183093,3.4656644049327023,0.0,4.762704923220465,3.675126319855254,0.0,7.657846571069373,2.8582650272777856,-13.006222796758856,12.747566143634883,-1.031390145576152,0.0,545.2156621388305,624.4698614576913,381.086794841142,554.7764472607541,4,78
1.560000000000001,2.7619077085629593,-1.6220612834619137,0.0,4.9479985933955,3.2853783246708588,0.0,3.1275095996563342,-0.5756469621030083,-14.891429097911079,-8.918809603628437,-13.828209755528999,0.0,548.5955630453988,475.4254284342614,452.87252119453797,454.65843878075407,5,78
1.5000000000000009,4.594878060239856,1.5749876213843097,0.0,4.810866514314888,5.826394521577345,0.0,3.9721813178958976,2.162547970969003,-12.00164153223968,10.369881321931318,-18.49925855588766,0.0,645.4510578510951,354.2297823994247,410.4986919914795,573.6180549400948,6,75
1.8600000000000012,2.43867661956267,10.995350670321603,0.0,3.86255934990351,0.6392214933273594,0.0,0.4220706406161432,10.45165870261894,-15.755473975183298,15.141747077651091,-18.704019357510067,0.0,809.7671993636783,583.9897939094017,690.670743961543,767.2988005484842,7,93
1.3800000000000008,4.248728613847278,-3.126921137871888,0.0,0.9164079955296529,0.04217756077875645,0.0,4.281558414038159,-5.745087497706482,-17.095481647300907,4.474906566582756,-22.685874103537614,0.0,793.3276525707163,341.7417385869019,795.8255417649907,735.0341313862062,8,69
1.3800000000000008,6.352735766179813,-0.5335814594204077,0.0,4.527697096705799,6.2447225412846,0.0,5.292919852241539,-1.1278775694881755,-17.067437710932214,-6.075782949232465,-20.866360431702272,0.0,718.5475425068714,298.0216481351148,760.8962681933023,698.0841334778039,9,69
1.680000000000001,-0.8722619386278424,-4.479539114845668,0.0,5.872696619424389,1.0385951405507239,0.0,-3.8523326656236674,-12.362617821467191,-13.219150211628396,-15.840275055676196,-19.784900225376834,0.0,828.1337199212657,465.7626705844806,770.4508194628557,608.7960517669402,10,84
