time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.1779883723648656e-07,8.568572301296009e-07,10.004191168037611,0.000621579471281386,0.00012274808663548242,0.0,-1.0856183213701847e-05,6.799162626022894e-05,0.139697986855861,0.025612565021428862,0.005852288400904788,0.0,449.0788598711281,449.55318778551873,448.2830031419259,450.3589799119837
0.12000000000000001,-4.425383667859561e-06,2.2836703415088366e-05,10.014215348756693,0.0025435460291589607,6.576438208760749e-05,0.0,-0.00015214470211322438,0.0008317489763807948,0.19443293217205584,0.042495721338832566,-0.02021870177841542,0.0,423.7961374872353,421.5497126669312,421.24098892966674,422.6986001103952
0.18,-9.587003701353556e-06,0.0001460655089086962,10.03252222704641,0.005141148888455405,6.281841087188379,0.0,0.00013626891166165463,0.0035845496440978916,0.41574037453133444,0.044842358860280505,-0.031036118457144306,0.0,474.5151107583973,473.68407650204796,473.5980839332025,473.77942628495424
0.23999999999999996,2.8666190325701013e-05,0.0004615349859065014,10.057624938302846,0.007588017622565779,6.280002681867112,0.0,0.001301616731920911,0.0071584688581706815,0.42101299235291534,0.031083716101034244,-0.029859708294066117,0.0,406.3923030633523,406.49730945047156,406.0234827802008,404.78845305621326
0.3,0.00018736272794383192,0.001077193045646305,10.088596302114288,0.009988438017802359,6.277610855618349,0.0,0.004195188773065961,0.013613739089172521,0.6112800098555621,0.05361816891569333,-0.0894181051309007,0.0,467.4850774847629,462.82000582008226,463.72330686331156,465.4905066468251
0.36000000000000004,0.000567993027343073,0.0021017914348826724,10.127251680216414,0.013087853911989633,6.271820293023758,0.0,0.009026928776963095,0.02084561794183884,0.6771879967507259,0.04741536445468325,-0.11703157761015014,0.0,427.8097163953587,425.44346123812056,426.3664905817802,425.8381377308762
0.4200000000000001,0.0014171207063074945,0.003683050704211636,10.174506022427975,0.015606227009579143,6.264384811475168,0.0,0.020134934477945177,0.03218603541604615,0.8977928379665672,0.02792616898885093,-0.1435553853749459,0.0,474.91159160105303,472.8596392863249,475.19944297985114,473.7041348884912
0.48000000000000015,0.003052421535324975,0.005947741349500332,10.231664987897952,0.01736872021846736,6.2559497417046686,0.0,0.03525434562292007,0.04347977009919143,1.007393006459697,0.03212493359493758,-0.13522717344446514,0.0,441.1827681653795,441.85120601476035,440.00472777031814,440.35241911513566
0.5400000000000001,0.005816019758550425,0.00895646792285628,10.297002882692972,0.019466918050950355,6.247877341593963,0.0,0.05776215313038783,0.05703246696235178,1.170351951572866,0.04012546926919039,-0.1332013526045209,0.0,456.6393320756163,456.78472194999506,458.1909373548848,458.8269511264196
0.6000000000000002,0.010139599572891428,0.01284265784068072,10.372870321816345,0.021404695530367945,6.239878479684897,0.0,0.0872692805600871,0.07276198293472376,1.3583162462304332,0.008088370781932972,-0.13354110494766022,0.0,465.3406984474886,465.29861241871146,467.03785122857875,464.53296461429176
0.6600000000000003,0.016470603387553,0.017733880053305347,10.461151520523744,0.02204899749276379,6.231297849720267,0.0,0.12473054187987564,0.09034003750919922,1.584055685331167,0.01557170150151813,-0.1795573275353262,0.0,480.3034328247108,476.7817710011873,475.62786927357905,476.2004625329383
0.7200000000000003,0.02510422242468256,0.023628507124207387,10.559850247265048,0.02349875748079544,6.220219728093994,0.0,0.16419364018607724,0.10627142650711417,1.705657047633067,0.037379732792278124,-0.1974367540257959,0.0,447.11273949402994,445.62051284047635,445.8908879787528,447.6688646391128
0.7800000000000004,0.036032623621917115,0.03039944226958073,10.661029933141425,0.026006887558440717,6.208148619081953,0.0,0.2010629372851977,0.11962032783072,1.6669812047385302,0.049433897406556,-0.20997838604724714,0.0,395.05542572536666,393.85180365243065,392.9529611240895,394.0698958201667
0.8400000000000004,0.04988228291905509,0.03818813331271588,10.766424147747419,0.028828196992872535,6.195650629807552,0.0,0.2619960799239247,0.14032124734844548,1.8457554464891566,0.041701029008662835,-0.2051432025801415,0.0,465.0491573716049,465.38712919176095,464.55308051445905,463.94759303905107
0.9000000000000005,0.06751090011491157,0.047228687383036094,10.880710346558207,0.031738679853419605,6.183811641093209,0.0,0.32686442210770617,0.1613064090776756,1.9634518325449375,0.05948312552104006,-0.18504998923112248,0.0,446.19965804221056,447.79867606819226,446.03341984036524,447.48458798859616
0.9600000000000005,0.08904276655133525,0.05751810022541022,10.999724394907295,0.035334689139422615,6.172999206996792,0.0,0.3918731668547166,0.18200088991305313,2.003481148478618,0.06081894670404786,-0.17196239208862482,0.0,422.30459304212894,423.3985722518794,422.3160120755665,422.4339531176765
1.0200000000000005,0.11503254204034079,0.06923128615650172,11.124279959575315,0.0396420712076635,6.162621639948778,0.0,0.4755414216681107,0.20886150781348484,2.1479423827812707,0.08770010566081916,-0.1750289721534938,0.0,456.77933154707125,456.50684017604726,455.019548292393,457.16996784745237
1.0800000000000005,0.14615687199564648,0.08261797784038637,11.256548354248455,0.04512170285147299,6.152140755231317,0.0,0.5629919528462707,0.23790394815870383,2.260598937098981,0.09773705618681555,-0.17399618961797012,0.0,447.2895344407159,447.34448485944506,447.1269442441533,447.95075625317367
1.1400000000000006,0.18310865908083865,0.09798785712473594,11.39823824954464,0.05098603119694012,6.141374509441658,0.0,0.6699050140895716,0.2750814266113347,2.4617432947135005,0.0977423025404374,-0.19345598040695688,0.0,476.2468324838286,474.726904616042,475.06952468980603,475.0774384505952
